region,hotel_name,date,occupancy_rate,bookings,cancellations,revenue,stars
Tunis,Laico Tunis Hotel,2024-04-08,0.71,171,19,29412,4
Tunis,Hotel Africa Tunis,2024-04-08,0.72,197,19,34869,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-08,0.84,93,4,27342,5
Sousse,El Mouradi Palace,2024-04-08,0.74,112,6,18704,4
Sousse,Marhaba Beach Hotel,2024-04-08,0.63,91,6,14833,4
Sousse,Riadh Palms Resort,2024-04-08,0.65,190,9,33440,4
Hammamet,La Badira,2024-04-08,0.76,45,1,12735,5
Hammamet,Iberostar Averroes,2024-04-08,0.6,169,12,19266,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-08,0.77,197,8,57130,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-08,0.84,45,3,11835,5
Djerba,Iberostar Mehari Djerba,2024-04-08,0.69,146,6,17666,4
Djerba,Vincci Helios Beach,2024-04-08,0.66,189,20,21735,4
Monastir,Hilton Skanes Monastir Beach,2024-04-08,0.79,189,22,58212,5
Monastir,One Resort Monastir,2024-04-08,0.73,184,11,24840,4
Monastir,Delphin El Habib,2024-04-08,0.52,150,14,11400,3
Tunis,Laico Tunis Hotel,2024-04-09,0.64,148,10,24420,4
Tunis,Hotel Africa Tunis,2024-04-09,0.63,74,8,10730,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-09,0.74,194,10,36860,5
Sousse,El Mouradi Palace,2024-04-09,0.7,189,13,20034,4
Sousse,Marhaba Beach Hotel,2024-04-09,0.55,115,13,12650,4
Sousse,Riadh Palms Resort,2024-04-09,0.74,143,14,25740,4
Hammamet,La Badira,2024-04-09,0.7,174,9,51330,5
Hammamet,Iberostar Averroes,2024-04-09,0.68,54,3,8370,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-09,0.79,158,7,45662,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-09,0.81,193,18,52110,5
Djerba,Iberostar Mehari Djerba,2024-04-09,0.73,126,9,15750,4
Djerba,Vincci Helios Beach,2024-04-09,0.76,103,6,12669,4
Monastir,Hilton Skanes Monastir Beach,2024-04-09,0.77,159,15,53424,5
Monastir,One Resort Monastir,2024-04-09,0.69,193,21,26248,4
Monastir,Delphin El Habib,2024-04-09,0.46,183,6,18849,3
Tunis,Laico Tunis Hotel,2024-04-10,0.6,108,3,17928,4
Tunis,Hotel Africa Tunis,2024-04-10,0.73,77,6,11165,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-10,0.72,78,6,19266,5
Sousse,El Mouradi Palace,2024-04-10,0.65,120,10,12720,4
Sousse,Marhaba Beach Hotel,2024-04-10,0.75,181,17,30770,4
Sousse,Riadh Palms Resort,2024-04-10,0.75,145,10,19865,4
Hammamet,La Badira,2024-04-10,0.74,46,4,15870,5
Hammamet,Iberostar Averroes,2024-04-10,0.75,108,8,15012,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-10,0.85,138,5,34362,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-10,0.81,108,4,34776,5
Djerba,Iberostar Mehari Djerba,2024-04-10,0.67,171,17,24624,4
Djerba,Vincci Helios Beach,2024-04-10,0.65,112,3,16464,4
Monastir,Hilton Skanes Monastir Beach,2024-04-10,0.83,48,3,11856,5
Monastir,One Resort Monastir,2024-04-10,0.63,72,7,9504,4
Monastir,Delphin El Habib,2024-04-10,0.49,86,3,9116,3
Tunis,Laico Tunis Hotel,2024-04-11,0.71,172,17,21156,4
Tunis,Hotel Africa Tunis,2024-04-11,0.66,101,10,14140,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-11,0.8,121,13,31702,5
Sousse,El Mouradi Palace,2024-04-11,0.64,97,7,13192,4
Sousse,Marhaba Beach Hotel,2024-04-11,0.75,164,5,27716,4
Sousse,Riadh Palms Resort,2024-04-11,0.56,144,12,22176,4
Hammamet,La Badira,2024-04-11,0.81,99,3,21978,5
Hammamet,Iberostar Averroes,2024-04-11,0.55,126,11,16884,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-11,0.7,138,6,28014,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-11,0.84,92,9,24932,5
Djerba,Iberostar Mehari Djerba,2024-04-11,0.54,68,4,7344,4
Djerba,Vincci Helios Beach,2024-04-11,0.66,137,5,20139,4
Monastir,Hilton Skanes Monastir Beach,2024-04-11,0.84,116,7,23896,5
Monastir,One Resort Monastir,2024-04-11,0.64,90,4,11070,4
Monastir,Delphin El Habib,2024-04-11,0.46,132,14,13596,3
Tunis,Laico Tunis Hotel,2024-04-12,0.65,181,21,24616,4
Tunis,Hotel Africa Tunis,2024-04-12,0.71,124,11,21452,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-12,0.76,121,14,35332,5
Sousse,El Mouradi Palace,2024-04-12,0.62,48,3,6528,4
Sousse,Marhaba Beach Hotel,2024-04-12,0.7,85,8,13430,4
Sousse,Riadh Palms Resort,2024-04-12,0.67,133,11,16359,4
Hammamet,La Badira,2024-04-12,0.7,124,5,29388,5
Hammamet,Iberostar Averroes,2024-04-12,0.6,91,3,15379,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-12,0.79,116,6,30160,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-12,0.73,55,3,15180,5
Djerba,Iberostar Mehari Djerba,2024-04-12,0.61,168,9,17472,4
Djerba,Vincci Helios Beach,2024-04-12,0.64,195,10,33735,4
Monastir,Hilton Skanes Monastir Beach,2024-04-12,0.7,133,15,34580,5
Monastir,One Resort Monastir,2024-04-12,0.61,126,13,22680,4
Monastir,Delphin El Habib,2024-04-12,0.63,156,9,13104,3
Tunis,Laico Tunis Hotel,2024-04-13,0.73,75,3,9150,4
Tunis,Hotel Africa Tunis,2024-04-13,0.76,173,10,19030,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-13,0.71,87,8,24186,5
Sousse,El Mouradi Palace,2024-04-13,0.72,109,5,12099,4
Sousse,Marhaba Beach Hotel,2024-04-13,0.74,129,12,21285,4
Sousse,Riadh Palms Resort,2024-04-13,0.57,100,9,12000,4
Hammamet,La Badira,2024-04-13,0.82,169,15,47489,5
Hammamet,Iberostar Averroes,2024-04-13,0.67,176,11,18832,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-13,0.69,185,21,55685,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-13,0.72,135,6,29295,5
Djerba,Iberostar Mehari Djerba,2024-04-13,0.69,100,10,15800,4
Djerba,Vincci Helios Beach,2024-04-13,0.58,162,16,16200,4
Monastir,Hilton Skanes Monastir Beach,2024-04-13,0.81,147,12,35133,5
Monastir,One Resort Monastir,2024-04-13,0.69,114,13,13338,4
Monastir,Delphin El Habib,2024-04-13,0.48,63,6,5859,3
Tunis,Laico Tunis Hotel,2024-04-14,0.61,60,6,9960,4
Tunis,Hotel Africa Tunis,2024-04-14,0.65,87,5,9222,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-14,0.77,87,6,26013,5
Sousse,El Mouradi Palace,2024-04-14,0.6,162,17,24300,4
Sousse,Marhaba Beach Hotel,2024-04-14,0.6,150,5,23850,4
Sousse,Riadh Palms Resort,2024-04-14,0.69,151,14,20989,4
Hammamet,La Badira,2024-04-14,0.78,144,10,34992,5
Hammamet,Iberostar Averroes,2024-04-14,0.65,79,9,12245,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-14,0.81,131,4,24759,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-14,0.85,74,4,17760,5
Djerba,Iberostar Mehari Djerba,2024-04-14,0.6,109,7,18312,4
Djerba,Vincci Helios Beach,2024-04-14,0.67,60,4,9300,4
Monastir,Hilton Skanes Monastir Beach,2024-04-14,0.85,90,3,18270,5
Monastir,One Resort Monastir,2024-04-14,0.56,195,12,23790,4
Monastir,Delphin El Habib,2024-04-14,0.48,194,9,13192,3
Tunis,Laico Tunis Hotel,2024-04-15,0.65,190,11,27740,4
Tunis,Hotel Africa Tunis,2024-04-15,0.56,118,13,13334,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-15,0.82,59,5,15045,5
Sousse,El Mouradi Palace,2024-04-15,0.75,175,17,31150,4
Sousse,Marhaba Beach Hotel,2024-04-15,0.76,109,4,19184,4
Sousse,Riadh Palms Resort,2024-04-15,0.55,68,6,11900,4
Hammamet,La Badira,2024-04-15,0.73,66,4,20064,5
Hammamet,Iberostar Averroes,2024-04-15,0.57,189,6,22491,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-15,0.85,66,7,19734,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-15,0.73,49,1,13279,5
Djerba,Iberostar Mehari Djerba,2024-04-15,0.72,146,8,15330,4
Djerba,Vincci Helios Beach,2024-04-15,0.69,54,5,5400,4
Monastir,Hilton Skanes Monastir Beach,2024-04-15,0.76,167,12,53774,5
Monastir,One Resort Monastir,2024-04-15,0.7,87,6,10962,4
Monastir,Delphin El Habib,2024-04-15,0.67,133,12,14098,3
Tunis,Laico Tunis Hotel,2024-04-16,0.63,84,4,13860,4
Tunis,Hotel Africa Tunis,2024-04-16,0.62,110,7,12540,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-16,0.8,117,9,28314,5
Sousse,El Mouradi Palace,2024-04-16,0.75,137,5,18084,4
Sousse,Marhaba Beach Hotel,2024-04-16,0.56,161,18,21896,4
Sousse,Riadh Palms Resort,2024-04-16,0.57,143,11,16874,4
Hammamet,La Badira,2024-04-16,0.8,135,12,31590,5
Hammamet,Iberostar Averroes,2024-04-16,0.71,186,9,27528,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-16,0.8,48,3,11136,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-16,0.8,56,2,12600,5
Djerba,Iberostar Mehari Djerba,2024-04-16,0.71,156,16,15912,4
Djerba,Vincci Helios Beach,2024-04-16,0.74,72,4,9144,4
Monastir,Hilton Skanes Monastir Beach,2024-04-16,0.73,141,13,27213,5
Monastir,One Resort Monastir,2024-04-16,0.76,194,22,32398,4
Monastir,Delphin El Habib,2024-04-16,0.63,59,2,4779,3
Tunis,Laico Tunis Hotel,2024-04-17,0.66,162,7,17820,4
Tunis,Hotel Africa Tunis,2024-04-17,0.68,191,16,23302,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-17,0.75,131,5,36942,5
Sousse,El Mouradi Palace,2024-04-17,0.57,81,3,12717,4
Sousse,Marhaba Beach Hotel,2024-04-17,0.6,159,5,19398,4
Sousse,Riadh Palms Resort,2024-04-17,0.65,164,15,17384,4
Hammamet,La Badira,2024-04-17,0.74,140,12,35840,5
Hammamet,Iberostar Averroes,2024-04-17,0.56,107,4,17227,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-17,0.76,72,6,16704,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-17,0.82,80,4,17120,5
Djerba,Iberostar Mehari Djerba,2024-04-17,0.6,142,9,18176,4
Djerba,Vincci Helios Beach,2024-04-17,0.58,78,7,11466,4
Monastir,Hilton Skanes Monastir Beach,2024-04-17,0.78,180,13,57780,5
Monastir,One Resort Monastir,2024-04-17,0.7,87,6,13572,4
Monastir,Delphin El Habib,2024-04-17,0.49,144,5,15840,3
Tunis,Laico Tunis Hotel,2024-04-18,0.74,131,8,20567,4
Tunis,Hotel Africa Tunis,2024-04-18,0.62,190,18,23940,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-18,0.83,146,6,31974,5
Sousse,El Mouradi Palace,2024-04-18,0.55,127,7,20447,4
Sousse,Marhaba Beach Hotel,2024-04-18,0.66,122,11,19642,4
Sousse,Riadh Palms Resort,2024-04-18,0.62,111,6,16650,4
Hammamet,La Badira,2024-04-18,0.82,144,7,31680,5
Hammamet,Iberostar Averroes,2024-04-18,0.56,86,9,10062,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-18,0.83,186,19,53754,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-18,0.81,138,13,33810,5
Djerba,Iberostar Mehari Djerba,2024-04-18,0.57,83,3,8798,4
Djerba,Vincci Helios Beach,2024-04-18,0.71,118,7,14868,4
Monastir,Hilton Skanes Monastir Beach,2024-04-18,0.75,174,11,40368,5
Monastir,One Resort Monastir,2024-04-18,0.72,53,5,9169,4
Monastir,Delphin El Habib,2024-04-18,0.54,140,8,15400,3
Tunis,Laico Tunis Hotel,2024-04-19,0.63,70,5,10570,4
Tunis,Hotel Africa Tunis,2024-04-19,0.61,153,12,27081,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-19,0.7,48,1,10080,5
Sousse,El Mouradi Palace,2024-04-19,0.68,87,5,10179,4
Sousse,Marhaba Beach Hotel,2024-04-19,0.6,70,6,8190,4
Sousse,Riadh Palms Resort,2024-04-19,0.64,127,8,19558,4
Hammamet,La Badira,2024-04-19,0.83,171,8,49932,5
Hammamet,Iberostar Averroes,2024-04-19,0.57,133,15,14098,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-19,0.78,196,13,41944,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-19,0.71,142,11,35074,5
Djerba,Iberostar Mehari Djerba,2024-04-19,0.56,162,11,28026,4
Djerba,Vincci Helios Beach,2024-04-19,0.54,170,20,24820,4
Monastir,Hilton Skanes Monastir Beach,2024-04-19,0.75,64,2,18176,5
Monastir,One Resort Monastir,2024-04-19,0.69,121,5,21538,4
Monastir,Delphin El Habib,2024-04-19,0.53,140,9,14280,3
Tunis,Laico Tunis Hotel,2024-04-20,0.61,107,5,11235,4
Tunis,Hotel Africa Tunis,2024-04-20,0.63,88,4,10120,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-20,0.76,120,5,27960,5
Sousse,El Mouradi Palace,2024-04-20,0.7,95,8,13395,4
Sousse,Marhaba Beach Hotel,2024-04-20,0.6,102,11,14076,4
Sousse,Riadh Palms Resort,2024-04-20,0.55,134,10,14606,4
Hammamet,La Badira,2024-04-20,0.74,120,12,35760,5
Hammamet,Iberostar Averroes,2024-04-20,0.76,103,5,11330,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-20,0.69,174,13,51330,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-20,0.68,128,13,28800,5
Djerba,Iberostar Mehari Djerba,2024-04-20,0.6,81,9,13770,4
Djerba,Vincci Helios Beach,2024-04-20,0.73,112,6,19712,4
Monastir,Hilton Skanes Monastir Beach,2024-04-20,0.84,137,4,28085,5
Monastir,One Resort Monastir,2024-04-20,0.65,84,5,15036,4
Monastir,Delphin El Habib,2024-04-20,0.63,155,10,16120,3
Tunis,Laico Tunis Hotel,2024-04-21,0.61,166,18,20750,4
Tunis,Hotel Africa Tunis,2024-04-21,0.59,119,5,19159,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-21,0.83,80,8,26560,5
Sousse,El Mouradi Palace,2024-04-21,0.73,167,9,28390,4
Sousse,Marhaba Beach Hotel,2024-04-21,0.72,70,6,7420,4
Sousse,Riadh Palms Resort,2024-04-21,0.73,72,7,10080,4
Hammamet,La Badira,2024-04-21,0.81,72,8,19728,5
Hammamet,Iberostar Averroes,2024-04-21,0.67,82,3,11726,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-21,0.83,164,13,42804,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-21,0.84,165,12,36960,5
Djerba,Iberostar Mehari Djerba,2024-04-21,0.72,124,12,17484,4
Djerba,Vincci Helios Beach,2024-04-21,0.74,196,18,26852,4
Monastir,Hilton Skanes Monastir Beach,2024-04-21,0.68,54,3,15498,5
Monastir,One Resort Monastir,2024-04-21,0.71,106,7,13992,4
Monastir,Delphin El Habib,2024-04-21,0.57,175,14,17850,3
Tunis,Laico Tunis Hotel,2024-04-22,0.6,126,11,21420,4
Tunis,Hotel Africa Tunis,2024-04-22,0.76,144,8,16992,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-22,0.78,177,19,40710,5
Sousse,El Mouradi Palace,2024-04-22,0.57,135,5,23895,4
Sousse,Marhaba Beach Hotel,2024-04-22,0.55,118,11,16048,4
Sousse,Riadh Palms Resort,2024-04-22,0.68,73,2,7373,4
Hammamet,La Badira,2024-04-22,0.82,93,8,24459,5
Hammamet,Iberostar Averroes,2024-04-22,0.69,118,4,14160,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-22,0.82,112,6,24416,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-22,0.85,72,4,16272,5
Djerba,Iberostar Mehari Djerba,2024-04-22,0.69,157,8,25434,4
Djerba,Vincci Helios Beach,2024-04-22,0.56,193,19,28178,4
Monastir,Hilton Skanes Monastir Beach,2024-04-22,0.79,56,6,18144,5
Monastir,One Resort Monastir,2024-04-22,0.58,121,13,19481,4
Monastir,Delphin El Habib,2024-04-22,0.6,120,11,11040,3
Tunis,Laico Tunis Hotel,2024-04-23,0.6,94,5,14946,4
Tunis,Hotel Africa Tunis,2024-04-23,0.57,113,12,15368,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-23,0.69,48,4,14016,5
Sousse,El Mouradi Palace,2024-04-23,0.61,115,9,12880,4
Sousse,Marhaba Beach Hotel,2024-04-23,0.73,164,10,26568,4
Sousse,Riadh Palms Resort,2024-04-23,0.7,79,7,11771,4
Hammamet,La Badira,2024-04-23,0.85,143,7,33605,5
Hammamet,Iberostar Averroes,2024-04-23,0.7,156,12,24024,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-23,0.7,47,4,10528,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-23,0.74,118,10,37170,5
Djerba,Iberostar Mehari Djerba,2024-04-23,0.66,171,10,17784,4
Djerba,Vincci Helios Beach,2024-04-23,0.56,196,15,27244,4
Monastir,Hilton Skanes Monastir Beach,2024-04-23,0.69,124,9,31372,5
Monastir,One Resort Monastir,2024-04-23,0.58,176,9,29040,4
Monastir,Delphin El Habib,2024-04-23,0.58,91,4,9009,3
Tunis,Laico Tunis Hotel,2024-04-24,0.7,118,13,20296,4
Tunis,Hotel Africa Tunis,2024-04-24,0.72,99,3,16929,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-24,0.84,162,10,48438,5
Sousse,El Mouradi Palace,2024-04-24,0.6,108,7,19224,4
Sousse,Marhaba Beach Hotel,2024-04-24,0.71,162,7,23652,4
Sousse,Riadh Palms Resort,2024-04-24,0.57,52,1,8372,4
Hammamet,La Badira,2024-04-24,0.8,128,11,33280,5
Hammamet,Iberostar Averroes,2024-04-24,0.74,135,15,19980,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-24,0.81,70,2,14000,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-24,0.76,51,1,17187,5
Djerba,Iberostar Mehari Djerba,2024-04-24,0.74,59,5,8614,4
Djerba,Vincci Helios Beach,2024-04-24,0.69,184,17,20240,4
Monastir,Hilton Skanes Monastir Beach,2024-04-24,0.7,55,5,15180,5
Monastir,One Resort Monastir,2024-04-24,0.64,133,9,23009,4
Monastir,Delphin El Habib,2024-04-24,0.52,76,4,5928,3
Tunis,Laico Tunis Hotel,2024-04-25,0.55,172,9,24768,4
Tunis,Hotel Africa Tunis,2024-04-25,0.6,62,6,6882,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-25,0.74,138,13,30774,5
Sousse,El Mouradi Palace,2024-04-25,0.58,167,13,23547,4
Sousse,Marhaba Beach Hotel,2024-04-25,0.7,69,4,10419,4
Sousse,Riadh Palms Resort,2024-04-25,0.61,86,7,9718,4
Hammamet,La Badira,2024-04-25,0.81,136,8,39032,5
Hammamet,Iberostar Averroes,2024-04-25,0.71,57,3,9291,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-25,0.7,90,7,27090,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-25,0.69,134,7,44488,5
Djerba,Iberostar Mehari Djerba,2024-04-25,0.64,82,7,12300,4
Djerba,Vincci Helios Beach,2024-04-25,0.74,116,4,20300,4
Monastir,Hilton Skanes Monastir Beach,2024-04-25,0.7,182,9,58786,5
Monastir,One Resort Monastir,2024-04-25,0.63,171,10,17271,4
Monastir,Delphin El Habib,2024-04-25,0.61,104,7,8008,3
Tunis,Laico Tunis Hotel,2024-04-26,0.64,174,10,27666,4
Tunis,Hotel Africa Tunis,2024-04-26,0.65,109,7,12971,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-26,0.85,146,14,35916,5
Sousse,El Mouradi Palace,2024-04-26,0.7,99,5,16929,4
Sousse,Marhaba Beach Hotel,2024-04-26,0.58,53,4,9063,4
Sousse,Riadh Palms Resort,2024-04-26,0.56,155,10,21545,4
Hammamet,La Badira,2024-04-26,0.74,159,16,40227,5
Hammamet,Iberostar Averroes,2024-04-26,0.64,97,4,12901,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-26,0.71,61,4,16348,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-26,0.82,152,5,32832,5
Djerba,Iberostar Mehari Djerba,2024-04-26,0.56,122,3,14640,4
Djerba,Vincci Helios Beach,2024-04-26,0.69,126,6,18144,4
Monastir,Hilton Skanes Monastir Beach,2024-04-26,0.81,196,17,55664,5
Monastir,One Resort Monastir,2024-04-26,0.56,151,12,26878,4
Monastir,Delphin El Habib,2024-04-26,0.47,123,7,11685,3
Tunis,Laico Tunis Hotel,2024-04-27,0.71,85,7,8585,4
Tunis,Hotel Africa Tunis,2024-04-27,0.71,70,5,12180,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-27,0.78,102,3,23970,5
Sousse,El Mouradi Palace,2024-04-27,0.66,142,10,15478,4
Sousse,Marhaba Beach Hotel,2024-04-27,0.65,108,11,13608,4
Sousse,Riadh Palms Resort,2024-04-27,0.63,116,4,14964,4
Hammamet,La Badira,2024-04-27,0.83,188,17,64484,5
Hammamet,Iberostar Averroes,2024-04-27,0.59,84,7,15036,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-27,0.83,63,4,17514,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-27,0.72,188,8,47752,5
Djerba,Iberostar Mehari Djerba,2024-04-27,0.74,189,9,33453,4
Djerba,Vincci Helios Beach,2024-04-27,0.56,148,4,17908,4
Monastir,Hilton Skanes Monastir Beach,2024-04-27,0.78,149,14,48723,5
Monastir,One Resort Monastir,2024-04-27,0.63,169,17,19942,4
Monastir,Delphin El Habib,2024-04-27,0.66,95,8,8455,3
Tunis,Laico Tunis Hotel,2024-04-28,0.63,132,8,23364,4
Tunis,Hotel Africa Tunis,2024-04-28,0.63,61,6,9089,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-28,0.75,151,13,52397,5
Sousse,El Mouradi Palace,2024-04-28,0.54,144,9,19008,4
Sousse,Marhaba Beach Hotel,2024-04-28,0.62,62,5,6944,4
Sousse,Riadh Palms Resort,2024-04-28,0.7,167,17,28223,4
Hammamet,La Badira,2024-04-28,0.75,159,10,53583,5
Hammamet,Iberostar Averroes,2024-04-28,0.67,65,3,8710,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-28,0.69,152,17,34504,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-28,0.82,74,4,22718,5
Djerba,Iberostar Mehari Djerba,2024-04-28,0.72,134,6,23182,4
Djerba,Vincci Helios Beach,2024-04-28,0.73,74,3,11470,4
Monastir,Hilton Skanes Monastir Beach,2024-04-28,0.78,113,6,34465,5
Monastir,One Resort Monastir,2024-04-28,0.61,149,14,15794,4
Monastir,Delphin El Habib,2024-04-28,0.64,86,3,7740,3
Tunis,Laico Tunis Hotel,2024-04-29,0.67,142,4,21016,4
Tunis,Hotel Africa Tunis,2024-04-29,0.65,153,6,23256,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-29,0.79,108,6,25056,5
Sousse,El Mouradi Palace,2024-04-29,0.64,184,16,21344,4
Sousse,Marhaba Beach Hotel,2024-04-29,0.73,50,2,5800,4
Sousse,Riadh Palms Resort,2024-04-29,0.71,147,15,19404,4
Hammamet,La Badira,2024-04-29,0.76,162,18,29484,5
Hammamet,Iberostar Averroes,2024-04-29,0.56,190,15,28310,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-29,0.68,72,8,14472,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-29,0.82,55,5,12100,5
Djerba,Iberostar Mehari Djerba,2024-04-29,0.74,54,2,7506,4
Djerba,Vincci Helios Beach,2024-04-29,0.7,198,16,33066,4
Monastir,Hilton Skanes Monastir Beach,2024-04-29,0.84,96,9,27264,5
Monastir,One Resort Monastir,2024-04-29,0.66,129,11,14061,4
Monastir,Delphin El Habib,2024-04-29,0.45,153,6,11169,3
Tunis,Laico Tunis Hotel,2024-04-30,0.74,46,4,4968,4
Tunis,Hotel Africa Tunis,2024-04-30,0.71,75,4,9375,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-04-30,0.74,129,11,40893,5
Sousse,El Mouradi Palace,2024-04-30,0.73,45,4,6210,4
Sousse,Marhaba Beach Hotel,2024-04-30,0.58,104,6,13000,4
Sousse,Riadh Palms Resort,2024-04-30,0.6,104,3,16120,4
Hammamet,La Badira,2024-04-30,0.81,151,7,27633,5
Hammamet,Iberostar Averroes,2024-04-30,0.66,113,9,17515,4
Hammamet,Hasdrubal Thalassa & Spa,2024-04-30,0.81,162,12,52974,5
Djerba,Radisson Blu Palace Resort Djerba,2024-04-30,0.82,90,9,31050,5
Djerba,Iberostar Mehari Djerba,2024-04-30,0.62,173,16,29064,4
Djerba,Vincci Helios Beach,2024-04-30,0.76,115,9,12190,4
Monastir,Hilton Skanes Monastir Beach,2024-04-30,0.72,135,8,32805,5
Monastir,One Resort Monastir,2024-04-30,0.61,60,4,8940,4
Monastir,Delphin El Habib,2024-04-30,0.62,55,4,4290,3
Tunis,Laico Tunis Hotel,2024-05-01,0.71,55,4,8525,4
Tunis,Hotel Africa Tunis,2024-05-01,0.71,174,15,26970,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-05-01,0.69,89,10,17444,5
Sousse,El Mouradi Palace,2024-05-01,0.72,45,3,4680,4
Sousse,Marhaba Beach Hotel,2024-05-01,0.72,136,10,16864,4
Sousse,Riadh Palms Resort,2024-05-01,0.63,127,7,20066,4
Hammamet,La Badira,2024-05-01,0.72,117,5,32058,5
Hammamet,Iberostar Averroes,2024-05-01,0.75,102,11,16116,4
Hammamet,Hasdrubal Thalassa & Spa,2024-05-01,0.74,52,4,13468,5
Djerba,Radisson Blu Palace Resort Djerba,2024-05-01,0.68,189,18,46683,5
Djerba,Iberostar Mehari Djerba,2024-05-01,0.68,101,4,10605,4
Djerba,Vincci Helios Beach,2024-05-01,0.55,60,4,7440,4
Monastir,Hilton Skanes Monastir Beach,2024-05-01,0.74,129,5,31605,5
Monastir,One Resort Monastir,2024-05-01,0.74,112,8,15904,4
Monastir,Delphin El Habib,2024-05-01,0.54,48,4,5232,3
Tunis,Laico Tunis Hotel,2024-05-02,0.66,60,5,10200,4
Tunis,Hotel Africa Tunis,2024-05-02,0.58,134,9,23986,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-05-02,0.83,194,11,35502,5
Sousse,El Mouradi Palace,2024-05-02,0.72,113,3,17063,4
Sousse,Marhaba Beach Hotel,2024-05-02,0.76,195,8,20670,4
Sousse,Riadh Palms Resort,2024-05-02,0.74,185,12,20165,4
Hammamet,La Badira,2024-05-02,0.8,128,13,32768,5
Hammamet,Iberostar Averroes,2024-05-02,0.75,175,15,24500,4
Hammamet,Hasdrubal Thalassa & Spa,2024-05-02,0.76,135,8,25380,5
Djerba,Radisson Blu Palace Resort Djerba,2024-05-02,0.82,112,10,20272,5
Djerba,Iberostar Mehari Djerba,2024-05-02,0.64,56,4,8736,4
